Time,target_cpu,__cpu,curr_state,next_state,t_start,t_delta
0.243033,,2.0,D,W,0.243033,0.000847999999678
0.243881,3.0,,W,A,0.243881,1.30000003082e-05
0.243894,,3.0,A,R+,0.243894,0.000957999999628
0.244852,,3.0,R+,A,0.244852,0.000204000000394
0.245056,,3.0,A,R,0.245056,0.000143999999636
0.2452,,3.0,R,A,0.2452,0.000396000000364
0.245596,,3.0,A,S,0.245596,0.00010999999995
0.245706,,3.0,S,W,0.245706,0.00726499999973
0.252971,3.0,,W,A,0.252971,0.00113499999998
0.254106,,3.0,A,R+,0.254106,0.00028999999995
0.254396,,3.0,R+,A,0.254396,1.10000000859e-05
0.254407,,3.0,A,R+,0.254407,9.00000031834e-06
0.254416,,3.0,R+,A,0.254416,0.000103999999737
0.25452,,3.0,A,R+,0.25452,0.000158000000283
0.254678,,3.0,R+,A,0.254678,9.00000000001e-05
0.254768,,3.0,A,R+,0.254768,0.000346999999692
0.255115,,3.0,R+,A,0.255115,9.49999998738e-05
0.25521,,3.0,A,S,0.25521,2.20000001718e-05
0.255232,,3.0,S,W,0.255232,0.00392000000011
0.259152,3.0,,W,A,0.259152,4.79999998788e-05
0.2592,,3.0,A,R+,0.2592,1.99999999495e-05
0.25922,,3.0,R+,A,0.25922,8.00000002528e-05
0.2593,,3.0,A,R,0.2593,9.09999998839e-05
0.259391,,3.0,R,A,0.259391,7.9999999798e-06
0.259399,,3.0,A,R,0.259399,1.99999999495e-05
0.259419,,3.0,R,A,0.259419,4.99999987369e-06
0.259424,,3.0,A,R,0.259424,0.000778999999966
0.260203,,3.0,R,A,0.260203,1.50000000758e-05
0.260218,,3.0,A,R,0.260218,0.00112800000034
0.261346,,3.0,R,A,0.261346,2.09999998333e-05
0.261367,,3.0,A,R+,0.261367,5.4000000091e-05
0.261421,,3.0,R+,A,0.261421,0.000321999999869
0.261743,,3.0,A,R,0.261743,0.000145999999859
0.261889,,3.0,R,A,0.261889,0.000418999999965
0.262308,,3.0,A,S,0.262308,8.60000000102e-05
